customer_id,customer_name,customer_gender,customer_age,education_level,kids_home,teens_home,total_children,year_first_transaction,years_tenure,distinct_stores_visited,number_complaints,typical_hour,time_of_day,lifetime_total_distinct_products,percentage_of_products_bought_promotion,lifetime_spend_groceries,lifetime_spend_vegetables,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_meat_fish,lifetime_spend_electronics_videogames,lifetime_spend_electronics,lifetime_spend_videogames,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_hygiene,lifetime_spend_petfood,total_spend,perc_spend_vegetables,perc_spend_meat_fish,perc_spend_petfood,perc_spend_tech_entertainment,perc_spend_groceries,perc_spend_alcohol,perc_spend_hygiene,latitude,longitude,is_customer_outlier
15,Henry Thompson,male,77,Bsc,0,1,1,2014,12,3,0,7,Morning,154,0.1113161982340499,7237.0,1807.0,304.0,176.0,480.0,744.0,591.0,153.0,507.0,42.0,2312.0,441.0,13570.0,0.13316138540889227,0.03537214443623038,0.032498157700786665,0.05482682387615709,0.5333087693437485,0.003095062638170158,0.17037582903450965,38.760359275134725,-9.07835954778907,0
16,Charlene Baird,female,26,Bsc,0,0,0,2021,5,7,1,15,Afternoon,37,1.0,11107.0,620.0,1094.0,487.0,1581.0,197.0,108.0,89.0,162.0,182.0,607.0,683.0,15139.0,0.04095382786178681,0.10443226104755635,0.04511526520903288,0.01301274853027742,0.7336680097755903,0.012021930114266449,0.04009511856791063,38.78541245732896,-9.152032204165351,0
18,Bruno Goldbeck,male,29,Unknown,0,1,1,2018,8,1,2,20,Evening,134,0.4091402734153587,10490.0,104.0,1249.0,737.0,1986.0,14339.0,13672.0,667.0,574.0,705.0,205.0,550.0,28953.0,0.0035920284599165572,0.06859392809032963,0.018996304355327946,0.4952509239109953,0.36231133215889116,0.024349808310011278,0.007080440714258598,38.74600841010293,-9.15622923060766,0
19,Evelyn Quinn,female,79,Phd,1,2,3,2007,19,3,3,19,Evening,65,0.157528602099963,8264.0,266.0,1024.0,1405.0,2429.0,1828.0,1660.0,168.0,399.0,514.0,819.0,533.0,15052.0,0.017672070156778054,0.16137390380005223,0.035410576667528955,0.12144565506236948,0.5490300292316309,0.03414828594204481,0.05441137390376401,38.78699922945693,-9.135196125512602,0
20,Arlene Hernandez,female,81,Msc,1,0,1,2017,9,5,1,20,Evening,253,0.4308490612060748,35044.0,395.0,1000.0,910.0,1910.0,363.0,78.0,285.0,567.0,621.0,1560.0,255.0,40715.0,0.009701584182731255,0.04691145769371315,0.006263048016699924,0.00891563305906695,0.8607147243028711,0.015252363993610402,0.038315117278634826,38.75274681712484,-9.135250341406646,0
22,James Kolodziej,male,83,Bsc,1,1,2,2019,7,3,1,14,Afternoon,205,0.0320563109521218,15333.0,1325.0,117.0,150.0,267.0,983.0,883.0,100.0,551.0,257.0,2057.0,473.0,21246.0,0.062364680410400844,0.012567071448737378,0.022263014214429885,0.04626753271201813,0.7216887884774914,0.012096394615451334,0.09681822460693927,38.75658242562309,-9.15436602277348,0
24,Linda Bryant,female,60,Phd,1,1,2,2012,14,2,0,17,Afternoon,139,0.0660401921930587,20270.0,2118.0,40.0,53.0,93.0,2054.0,1816.0,238.0,507.0,408.0,890.0,342.0,26682.0,0.07937935686977012,0.003485495839890756,0.01281762986282407,0.07698073607672701,0.7596881792966196,0.015291207555649767,0.03335582040325562,38.74710885689428,-9.186784838800778,0
25,Tom Fisher,male,25,Phd,0,0,0,2020,6,2,1,8,Morning,61,0.6532370294994334,8829.0,0.0,1028.0,758.0,1786.0,820.0,345.0,475.0,121.0,1657.0,91.0,44.0,13348.0,0.0,0.1338028169013082,0.0032963739886100562,0.061432424333187415,0.661447407850868,0.12413844770742871,0.006817500749170799,38.70758994916797,-9.161818002552854,0
26,Jeffery Brown,male,35,Bsc,2,1,3,2019,7,4,1,11,Morning,126,0.2331716143295922,71986.0,126.0,532.0,920.0,1452.0,3918.0,3650.0,268.0,721.0,739.0,1101.0,499.0,80542.0,0.00156440118199181,0.018027861240096095,0.006195525315983438,0.048645427230507236,0.893769710213194,0.009175337091205934,0.013669886518833196,38.727745834323656,-9.185483625264848,0
27,Edna Christy,female,38,Phd,1,0,1,2016,10,2,0,22,Evening,16,0.5625619630219125,12067.0,0.0,811.0,157.0,968.0,326.0,274.0,52.0,125.0,177.0,243.0,210.0,14116.0,0.0,0.06857466704443994,0.014876735619145029,0.023094361008767997,0.8548455653153479,0.012538962878993667,0.01721450835929639,38.777746595386375,-9.167540842777818,0
28,Arthur Doyle,male,35,Msc,2,1,3,2020,6,1,2,12,Afternoon,35,0.6308553294317327,9842.0,311.0,422.0,566.0,988.0,2955.0,2173.0,782.0,193.0,691.0,485.0,301.0,15766.0,0.019725992642382513,0.06266649752628271,0.019091716351630664,0.18742864391717148,0.6242547253579701,0.04382849169095279,0.030762400101464693,38.74813760378645,-9.156526394540954,0
29,Debra Mcleod,female,67,Phd,1,0,1,2011,15,5,0,14,Afternoon,127,0.5897405207838152,10232.0,338.0,438.0,821.0,1259.0,2534.0,2309.0,225.0,280.0,595.0,1067.0,454.0,16759.0,0.020168267796395866,0.07512381407000708,0.027089921833028767,0.1512023390416187,0.610537621576102,0.03550331165341876,0.06366728325075263,38.72716384639924,-9.2052703305056,0
30,Melissa Earing,female,46,Phd,1,0,1,2008,18,1,1,9,Morning,73,0.074966511144387,8793.0,2219.0,42.0,0.0,42.0,3447.0,3285.0,162.0,477.0,281.0,613.0,47.0,15919.0,0.13939317796335235,0.002638356680694366,0.0029524467617294096,0.21653370186555904,0.5523588165082276,0.01765186255416945,0.03850744393489634,38.754215503038,-9.17366872422114,0
31,Cruz Pope,female,54,Unknown,0,0,0,2016,10,2,1,23,Evening,54,0.3058264810330052,6520.0,292.0,653.0,882.0,1535.0,4905.0,3754.0,1151.0,473.0,913.0,589.0,546.0,15773.0,0.018512648196273053,0.09731820199068197,0.034616116147825636,0.31097445000931273,0.41336461040993255,0.0578837253534154,0.03734229379316722,38.73353626643542,-9.167613813757033,0
33,Stan Vian,male,86,Bsc,0,0,0,2021,5,5,0,23,Evening,89,0.0219439132124308,8225.0,815.0,924.0,0.0,924.0,2906.0,2873.0,33.0,503.0,199.0,678.0,678.0,14928.0,0.05459539121111026,0.06189710610928329,0.04541800643083774,0.19466773847789745,0.5509780278667262,0.013330653804921402,0.04541800643083774,38.69790927684401,-9.16725691086542,0
34,Ruth Snoddy,female,69,Bsc,0,1,1,2010,16,1,1,9,Morning,60,0.0849881318023555,13396.0,439.0,696.0,523.0,1219.0,2680.0,1321.0,1359.0,326.0,5.0,670.0,765.0,19500.0,0.022512820512808968,0.06251282051278845,0.03923076923074911,0.13743589743582696,0.6869743589740066,0.0002564102564101249,0.03435897435895674,38.75980720441785,-9.155894766799689,0
35,Thomas King,male,47,Bsc,0,1,1,2011,15,2,0,8,Morning,212,0.0,37795.0,636.0,890.0,844.0,1734.0,2172.0,2130.0,42.0,102.0,310.0,842.0,524.0,44115.0,0.014416865011897447,0.03930635838149398,0.011878046016091607,0.049234954097234676,0.8567380709507296,0.007027088291962592,0.01908647852204033,38.76203648175096,-9.158846685096057,0
36,Shantae Worley,female,54,Bsc,4,0,4,2006,20,3,0,14,Afternoon,305,0.1165796006586249,32925.0,1083.0,1300.0,956.0,2256.0,6142.0,5770.0,372.0,759.0,1737.0,1451.0,327.0,46680.0,0.023200514138812512,0.04832904884317731,0.007005141388173307,0.13157669237357936,0.7053341902312114,0.037210796915159126,0.031083976006848528,38.76021401470984,-9.194390645605838,0
37,Alonzo Crossan,male,26,Phd,1,1,2,2020,6,5,0,7,Morning,330,0.0,25539.0,907.0,1153.0,962.0,2115.0,1433.0,1089.0,344.0,1681.0,896.0,1205.0,329.0,34105.0,0.026594341005709843,0.062014367394791964,0.009646679372523195,0.042017299516187656,0.7488344817473248,0.026271807652829125,0.035332062747387386,38.72970010948747,-9.196584989123338,0
38,Vanessa Wells,female,48,Bsc,1,0,1,2014,12,6,1,13,Afternoon,151,0.0615688647714884,8371.0,218.0,493.0,1512.0,2005.0,299.0,205.0,94.0,379.0,316.0,249.0,328.0,12165.0,0.017920263049718107,0.1648170982324991,0.02696259761608963,0.024578709412228048,0.6881216605008729,0.02597616111794001,0.020468557336604628,38.71247116480576,-9.129835005121535,0
39,Dawn Cannon,female,39,Phd,1,1,2,2007,19,4,1,14,Afternoon,302,0.4942214328019912,37097.0,283.0,1243.0,680.0,1923.0,2861.0,2598.0,263.0,246.0,706.0,2369.0,359.0,45844.0,0.0061731088037679585,0.04194660151818298,0.007830904807606703,0.062407294302403285,0.8092007678211306,0.015400052351449395,0.05167524648807877,38.77949960090595,-9.152015004454716,0
40,Madge Bell,female,67,Bsc,1,2,3,2009,17,7,0,10,Morning,266,0.2274411335550715,26555.0,1327.0,1773.0,1429.0,3202.0,7141.0,7141.0,0.0,379.0,1838.0,1428.0,380.0,42250.0,0.031408284023661207,0.07578698224850278,0.008994082840234558,0.16901775147924994,0.6285207100590229,0.04350295857987136,0.03379881656803934,38.745229204961255,-9.116639572490518,0
41,Marion Davis,female,80,Bsc,1,1,2,2013,13,6,1,17,Afternoon,91,0.1269068530725506,1806.0,1963.0,55.0,47.0,102.0,1374.0,1248.0,126.0,398.0,325.0,595.0,199.0,6762.0,0.29029872818649766,0.01508429458737787,0.02942916296949212,0.20319432120644307,0.26708074534121995,0.048062703342135374,0.08799171842637091,38.759760815806594,-9.122087512242429,0
42,Bonny Correa,female,36,Bsc,2,0,2,2014,12,1,2,11,Morning,42,0.4197566063956281,8496.0,284.0,446.0,633.0,1079.0,1239.0,1068.0,171.0,17.0,668.0,381.0,268.0,12432.0,0.022844272844254467,0.08679214929207947,0.021557271557254214,0.09966216216208199,0.6833976833971337,0.05373230373226051,0.030646718146693494,38.74815657274145,-9.156340480297294,0
44,Sylvia Jones,female,85,Msc,2,1,3,2016,10,3,0,8,Morning,84,0.2426026354063847,10440.0,1966.0,368.0,266.0,634.0,3754.0,3659.0,95.0,956.0,304.0,1635.0,271.0,19960.0,0.0984969939879266,0.0317635270540923,0.013577154308610432,0.188076152304515,0.5230460921841067,0.015230460921836057,0.08191382765526958,38.74198055776764,-9.090553284872955,0
46,Jane Dixon,female,71,Phd,1,1,2,2019,7,4,1,12,Afternoon,32,0.0899605382861564,16221.0,2009.0,0.0,87.0,87.0,1405.0,1325.0,80.0,439.0,177.0,2111.0,436.0,22885.0,0.0877867598863501,0.003801616779548262,0.01905178064233382,0.06139392615247481,0.7088048940350846,0.007734323792874051,0.09224382783478599,38.75784856755827,-9.06704702651029,0
47,Lillian Moore,female,50,Msc,0,1,1,2019,7,4,1,21,Evening,188,0.5893278251634426,3836.0,232.0,1262.0,696.0,1958.0,474.0,40.0,434.0,301.0,477.0,467.0,428.0,8173.0,0.0283861495166666,0.2395693135932466,0.05236755169454011,0.05799583996077573,0.46935029976695297,0.05836290223900849,0.05713936131156596,38.73230749038213,-9.21469076819808,0
48,Kayla Blankenship,female,33,Phd,2,0,2,2016,10,2,2,6,Morning,87,0.8021778732399719,9339.0,88.0,507.0,467.0,974.0,437.0,300.0,137.0,244.0,1033.0,316.0,370.0,12801.0,0.006874462932578021,0.07608780564012492,0.028903991875612135,0.03413795797200676,0.7295523787198425,0.08069682056083063,0.024685571439711985,38.7480290416654,-9.15656587813829,0
49,Archie Mickel,male,29,Phd,4,4,8,2025,1,3,1,8,Morning,329,0.1829629326719151,29112.0,1508.0,1341.0,0.0,1341.0,6310.0,5704.0,606.0,963.0,1549.0,887.0,64.0,41734.0,0.036133608089318994,0.032132074567491224,0.0015335218287244135,0.15119566780079763,0.6975607418410176,0.03711602051084557,0.02125365409497742,38.7496666360259,-9.14014091211847,0
50,Doloris Atwell,female,66,Phd,0,1,1,2018,8,5,1,14,Afternoon,128,0.0941141673878209,33106.0,514.0,794.0,1271.0,2065.0,3200.0,2893.0,307.0,790.0,452.0,825.0,410.0,41362.0,0.01242686523862182,0.04992505198006627,0.009912480054153593,0.0773656979836378,0.8003964992019728,0.010927904840188839,0.01994584401140662,38.80364972655259,-9.057216682624029,0
52,Felipe Belliveau,male,49,Unknown,1,0,1,2016,10,1,1,20,Evening,37,0.2335421656467491,10551.0,39.0,697.0,433.0,1130.0,21174.0,19339.0,1835.0,487.0,1363.0,540.0,5.0,35289.0,0.0011051602482356811,0.0320213097565723,0.00014168721131226683,0.6000170024651875,0.2989883533111454,0.038623933803723934,0.015302218821724816,38.76338275574757,-9.175977632749976,0
53,Salvatore Blackmon,male,54,Msc,0,0,0,2014,12,4,1,11,Morning,98,1.0,10375.0,95.0,486.0,734.0,1220.0,454.0,454.0,0.0,94.0,170.0,39.0,43.0,12490.0,0.007606084867888226,0.097678142513933,0.0034427542033599336,0.03634907926338162,0.8306645316246352,0.013610888710957877,0.0031224979983962187,38.716659620636335,-9.126962821404986,0
54,Jody Marrs,female,52,Unknown,0,0,0,2014,12,2,2,22,Evening,109,0.3376005577176389,14037.0,90.0,718.0,967.0,1685.0,9387.0,9387.0,0.0,601.0,1342.0,247.0,328.0,27717.0,0.003247104665005864,0.060793015117054226,0.01183389255691026,0.3386730165601116,0.5064400909187479,0.04841793844930966,0.008911498358404981,38.744460255877705,-9.1663286590939,0
55,George Moland,male,47,Phd,2,3,5,2012,14,1,1,11,Morning,166,0.0503315349347742,31548.0,979.0,1808.0,901.0,2709.0,4885.0,4885.0,0.0,1084.0,307.0,642.0,456.0,42610.0,0.02297582727058837,0.06357662520533594,0.01070171321285832,0.11464444965967739,0.7403895799106454,0.007204881483218211,0.015066885707576845,38.76299838765157,-9.170646844713852,0
56,Renee Green,female,35,Bsc,2,0,2,2017,9,1,2,11,Morning,109,0.2457068193430098,7706.0,312.0,561.0,631.0,1192.0,1511.0,1395.0,116.0,114.0,649.0,13.0,53.0,11550.0,0.027012987012963622,0.10320346320337384,0.004588744588740616,0.13082251082239754,0.6671861471855695,0.05619047619042754,0.001125541125540151,38.7474890696561,-9.155944958147968,0
57,Suzanne Jackson,female,29,Msc,2,3,5,2017,9,1,2,6,Morning,39,1.0,8856.0,144.0,589.0,343.0,932.0,1030.0,862.0,168.0,46.0,662.0,500.0,81.0,12251.0,0.011754142518968447,0.07607542241443467,0.006611705166919751,0.08407476940651042,0.7228797649165595,0.05403640519136883,0.04081299485752933,38.74771972687876,-9.155806753882551,0
59,Norman Kellar,male,31,Phd,0,1,1,2014,12,3,2,23,Evening,18,0.4584183117437898,11036.0,450.0,461.0,361.0,822.0,730.0,446.0,284.0,95.0,148.0,688.0,475.0,14444.0,0.031154804763201913,0.056909443367448825,0.03288562725004646,0.05054001661586088,0.7640542785926585,0.01024646912211974,0.047632234837962036,38.74384410672418,-9.152002161264976,0
60,Stella Vanlandingham,female,81,Phd,1,5,6,2008,18,1,1,13,Afternoon,45,0.1970857982962765,21035.0,710.0,1557.0,830.0,2387.0,4805.0,4355.0,450.0,273.0,625.0,594.0,624.0,31053.0,0.022864135510249295,0.0768685795253029,0.020094676842810646,0.15473545229119418,0.6773902682508365,0.02012687985057156,0.019128586609983213,38.77163386244289,-9.120604122622966,0
61,Mildred Jones,female,32,Phd,1,1,2,2014,12,3,1,13,Afternoon,59,0.1318202582444303,5241.0,2514.0,46.0,281.0,327.0,3138.0,2848.0,290.0,580.0,250.0,1037.0,252.0,13339.0,0.18846990029223443,0.024514581302927867,0.018891970912348083,0.23525001874185825,0.39290801409371545,0.018742034635265956,0.07774195966708318,38.77968386918864,-9.19466434077501,0
62,Renee Crowe,female,70,Msc,2,2,4,2005,21,1,2,9,Morning,361,0.1108472703578988,9973.0,1206.0,1486.0,1205.0,2691.0,4188.0,3875.0,313.0,857.0,1261.0,620.0,193.0,20989.0,0.0574586688265008,0.12821001476958016,0.009195292772400212,0.19953308876068437,0.4751536519126804,0.06007908904661485,0.029539282481285654,38.77651127402721,-9.190814820328804,0
63,Tony Cummings,male,53,Phd,1,0,1,2011,15,4,0,11,Morning,41,0.1321238480605895,8375.0,1572.0,83.0,67.0,150.0,3557.0,3406.0,151.0,305.0,438.0,748.0,32.0,15177.0,0.10357778217032115,0.009883376161290187,0.0021084535810752397,0.23436779337139463,0.5518218356720354,0.028859458390967343,0.04928510245763373,38.77927405559048,-9.166152028406405,0
64,Homer Rodriguez,male,57,Bsc,1,0,1,2017,9,2,1,9,Morning,62,0.5990170831946777,13355.0,547.0,748.0,0.0,748.0,852.0,673.0,179.0,79.0,194.0,106.0,16.0,15897.0,0.03440900798890708,0.047052903063441495,0.001006479209913187,0.05359501792787721,0.8400956155244134,0.012203560420197393,0.006667924765674864,38.72848388735738,-9.181805417133749,0
66,Dina Kellum,female,66,Bsc,1,1,2,2010,16,7,1,10,Morning,127,0.0586036965773658,12155.0,2093.0,45.0,79.0,124.0,2715.0,2559.0,156.0,621.0,410.0,607.0,171.0,18896.0,0.11076418289579235,0.00656223539373065,0.009049534292967268,0.1436812023707961,0.6432578323451295,0.021697713801851346,0.03212320067737504,38.71790765402376,-9.18996276218488,0
69,Raymond Stpeter,male,46,Msc,2,1,3,2015,11,5,1,13,Afternoon,120,0.1964968506860476,16752.0,1738.0,37.0,65.0,102.0,694.0,466.0,228.0,849.0,17.0,2618.0,397.0,23167.0,0.07502050330207838,0.004402814347993092,0.017136444079933897,0.02995640350497261,0.723097509388042,0.000733802391332182,0.11300556826515604,38.75416736257537,-9.146026082165973,0
70,Erik Murray,male,80,Unknown,0,0,0,2013,13,2,1,21,Evening,193,0.276803492086756,7863.0,26.0,648.0,497.0,1145.0,5481.0,2525.0,2956.0,622.0,1016.0,402.0,311.0,16866.0,0.0015415629076238932,0.06788805881651376,0.01843946401042426,0.32497331910332916,0.46620419779410277,0.06023953515945675,0.023834934187107887,38.7634352074024,-9.150999564138113,0
71,Sylvia Giles,female,51,Bsc,1,2,3,2011,15,4,3,16,Afternoon,189,0.0597959273288908,9961.0,1770.0,43.0,127.0,170.0,1855.0,1725.0,130.0,692.0,448.0,683.0,255.0,15834.0,0.11178476695711015,0.010736390046728094,0.016104585070092138,0.11715296198047419,0.6290893015026973,0.028293545534906976,0.04313502589361934,38.73829055773158,-9.159192307369766,0
72,Danial Schmitz,male,66,Phd,2,0,2,2016,10,4,1,10,Morning,34,0.2278466768695096,5836.0,1318.0,106.0,86.0,192.0,510.0,211.0,299.0,356.0,322.0,2127.0,627.0,11288.0,0.11676116229614035,0.0170092133238687,0.055545712260758724,0.045180722891526234,0.5170092133234258,0.028525868178571466,0.18843019135348296,38.78844147513438,-9.104188173971986,0
73,Doris Cedillo,female,70,Unknown,1,0,1,2021,5,2,0,18,Evening,18,0.3454144786395181,4804.0,161.0,622.0,1441.0,2063.0,12353.0,10741.0,1612.0,349.0,1238.0,151.0,365.0,21484.0,0.0074939489852878915,0.09602494879906161,0.016989387451118512,0.5749860361196355,0.22360826661691321,0.05762427853283484,0.007028486315394234,38.73800927193912,-9.153900715709058,0
74,Jeannette Ganser,female,56,Msc,1,0,1,2016,10,4,1,10,Morning,81,0.13208322630811,13382.0,1910.0,106.0,25.0,131.0,1860.0,1799.0,61.0,547.0,162.0,1907.0,359.0,20258.0,0.09428373975708644,0.006466581103758285,0.01772139401716965,0.09181557903046114,0.6605785368739951,0.00799684075426597,0.09413565011348893,38.73444316402863,-9.18110165931389,0
75,Carol Hendrix,female,51,Unknown,0,0,0,2017,9,2,0,8,Morning,165,0.2191056596387716,9583.0,135.0,995.0,124.0,1119.0,13145.0,11967.0,1178.0,342.0,1438.0,43.0,292.0,26097.0,0.005173008391767186,0.04287849178064801,0.011189025558489026,0.5036977430354049,0.36720695865411074,0.05510211901749047,0.0016476989692295484,38.76662652137475,-9.149499807448898,0
76,Thomas Davis,male,74,Msc,0,1,1,2020,6,2,0,8,Morning,83,0.1313530667384041,16686.0,983.0,963.0,777.0,1740.0,1576.0,1281.0,295.0,157.0,183.0,883.0,289.0,22497.0,0.04369471485084958,0.07734364581940821,0.012846157265407455,0.07005378494907319,0.7416988931854284,0.008134417922386035,0.03924967773479164,38.759613981210855,-9.163422794015997,0
77,Amanda Foppiano,female,28,Msc,1,0,1,2026,0,1,1,11,Morning,130,0.0303707864934123,27734.0,2052.0,81.0,103.0,184.0,2450.0,2269.0,181.0,538.0,505.0,283.0,788.0,34534.0,0.05941970232233179,0.005328082469448854,0.022818092314813573,0.0709445763595092,0.8030926043896441,0.014623269821041692,0.008194822493771878,38.75751840162344,-9.167218279468052,0
78,Kelly Studivant,female,62,Msc,2,2,4,2014,12,1,0,14,Afternoon,308,0.4541855193746511,14670.0,232.0,1109.0,1824.0,2933.0,6075.0,5754.0,321.0,1057.0,1110.0,1349.0,379.0,27805.0,0.00834382305340466,0.10548462506739598,0.013630641970863647,0.21848588383376424,0.5276029491096825,0.03992087753999643,0.04851645387518485,38.75816049569222,-9.132848257178836,0
79,Betty Payne,female,50,Bsc,0,1,1,2006,20,5,0,11,Morning,195,0.7758343929075089,26331.0,337.0,990.0,1119.0,2109.0,740.0,740.0,0.0,507.0,842.0,890.0,537.0,32293.0,0.010435698138912323,0.0653082711423326,0.016628990802955244,0.02291518285695881,0.8153779456845708,0.0260737621156207,0.027560152354991,38.72660554417923,-9.186097839238466,0
80,Cody Gerber,male,28,Bsc,1,1,2,2019,7,5,2,17,Afternoon,220,0.2630513932327908,21442.0,1118.0,477.0,228.0,705.0,1082.0,1043.0,39.0,99.0,1265.0,289.0,243.0,26243.0,0.04260183668024136,0.026864306672245222,0.009259612087029204,0.04123004229697777,0.8170559768316057,0.048203330411901,0.011012460465643786,38.79038661172089,-9.04255054871454,0
81,Denise Allard,female,34,Phd,2,0,2,2020,6,1,2,6,Morning,91,0.0,6273.0,208.0,539.0,804.0,1343.0,551.0,430.0,121.0,291.0,525.0,707.0,320.0,10218.0,0.02035623409667219,0.13143472303764783,0.03131728322564952,0.05392444705416527,0.6139166177328108,0.051379917792081245,0.0691916226266694,38.74809191328798,-9.155614661575228,0
82,Heather Howie,female,25,Msc,0,0,0,2021,5,2,0,8,Morning,49,0.609052506679316,8073.0,123.0,367.0,259.0,626.0,1813.0,1372.0,441.0,304.0,1326.0,237.0,171.0,12673.0,0.00970567347904229,0.04939635445431279,0.013493253373302695,0.1430600489227941,0.637023593465922,0.1046318945789437,0.018701175727910753,38.75642674039771,-9.16259443042522,0
83,Rose Huffman,female,86,Unknown,0,0,0,2021,5,3,1,16,Afternoon,40,0.3770638581540876,10842.0,91.0,678.0,963.0,1641.0,14425.0,12889.0,1536.0,810.0,1741.0,155.0,355.0,30060.0,0.0030272787757807625,0.05459081836325529,0.01180971390551836,0.4798735861608517,0.3606786427144509,0.05791749833664075,0.005156353958747453,38.76582580039765,-9.164486303789882,0
84,David Alexander,male,45,Msc,1,1,2,2009,17,3,1,14,Afternoon,358,0.7467978428414461,47676.0,218.0,907.0,168.0,1075.0,6312.0,6045.0,267.0,1029.0,556.0,257.0,384.0,57507.0,0.0037908428539127777,0.018693376458514845,0.006677447962855535,0.10976055088943786,0.8290468986382825,0.00966838819621791,0.004469021162640293,38.71045673659789,-9.142284639235136,0
